headline,category,prediction
Norman Reedus Opens Up About 'Walking Dead' Injury: 'I Thought I Was Going To Die',ENTERTAINMENT_MEDIA,3
Michigan Supreme Court Revives Abortion Rights Amendment For November's Ballot,POLITICS,4
Portland Residents With Disabilities Sue Over City's Blocked Sidewalks,POLITICS,4
At Least 32 Dead In Fire At Karaoke Parlor In South Vietnam,WORLD_NEWS,4
Baseball Players Union Joins AFL-CIO In Show Of Solidarity With Other Workers,SPORTS,2
"Muslims Only Make Up 1% Of Characters On TV, Study Finds",ENTERTAINMENT_MEDIA,4
The Unemployment Insurance System Is Not Ready For The Next Recession,POLITICS,1
"Power Outage At Austin Airport Leads To Flight Delays, Traffic Jams",US_NEWS,4
"Shelling Goes On Near Ukraine Nuclear Plant, Despite Risks",WORLD_NEWS,4
Cyberattack Prompts Los Angeles School District To Shut Down Its Computer Systems,EDUCATION,4
Fast-Moving Fairview Fire Kills At Least 2 In California,US_NEWS,4
"Kody Clemens Strikes Out MVP Shohei Ohtani, Trails Dad Roger By 4,671 Ks",SPORTS,2
Mississippi Governor Says Water Pressure Is Now 'Solid' In Jackson,US_NEWS,4
"Meta, Parent Company Of Instagram, Fined $400 Million By Irish Regulators",US_NEWS,3
School Starts Today For Survivors Of Deadly Mass Shooting In Uvalde,US_NEWS,4
"U.S.: Russia To Buy Rockets, Artillery Shells From North Korea",WORLD_NEWS,4
Harry Styles Say He Feels Like He Has 'No Idea What I'm Doing' When Acting,ENTERTAINMENT_MEDIA,3
Michigan Secretary of State Worried About ‘Violence And Disruption’ Going Into Midterms,POLITICS,0
Citing Imminent Danger Cloudflare Drops Hate Site Kiwi Farms,TECH,0
Bear Spotted Chilling In California Swimming Pool,US_NEWS,2
Uvalde Fourth Graders Waited An Hour With Wounded Teacher,POLITICS,4
Trump-Endorsed Wisconsin Gubernatorial Candidate Tells Voters To Take Up Pitchforks,POLITICS,0
Memphis Police: Arrest Made In Jogger's Disappearance,CRIME,4
FEMA Director Says It's ‘Too Early’ To Tell When Jackson Will Have Clean Water Again,US_NEWS,4
Pakistan's Largest Natural Lake Is Rising To Dangerous Levels Due To Monsoon,WORLD_NEWS,2
Uvalde Children Grapple With Trauma After School Massacre,US_NEWS,4
Emergency Declared As Flash Flooding Hits Northwest Georgia,US_NEWS,4
"'The Osbournes' Will Return In British Revival On BBC: 'Same Laughter, Love And Tears'",ENTERTAINMENT_MEDIA,3
Plane That Circled Mississippi Threatening To Crash Has Landed,US_NEWS,4
Fuel Leak Ruins NASA's 2nd Shot At Launching New Moon Rocket,SCIENCE,4
9 Migrants Are Found Dead In Rio Grande: Border Patrol,US_NEWS,4
Owner Of New England Frozen Yogurt Shops Accused Of Hiding Camera In Store Bathroom,US_NEWS,4
Former White House Counsel Pat Cipollone To Testify Before Grand Jury: Reports,POLITICS,0
"Tropical Storm Danielle Strengthens Into Hurricane, No Current Threat To Land",US_NEWS,2
Putin Plans To Snub Gorbachev's Funeral,WORLD_NEWS,4
NASA Aims For Saturday Launch Of New Moon Rocket After Fixing Fuel Leaks,US_NEWS,2
"U.S. Hiring Slowed In August As Employers Add 315,000 Jobs",US_NEWS,2
Pregnant Woman Who Claimed Unborn Baby Was HOV Lane Passenger Receives Another Ticket,US_NEWS,4
Should You Freeze-Dry Your Breast Milk?,PARENTING_FAMILY,2
Missing Louisiana Nun Found 'Alive And Safe' Months After Armed Home Raid,US_NEWS,4
"A Ku Klux Klan Plaque Is Mounted At West Point's Science Center, Commission Finds",US_NEWS,4
Toxic Algae Causes Thousands Of Dead Fish To Wash Ashore In California,ENVIRONMENT,2
Lisa Loeb Paved Her Own Way In The '90s — A Rare Feat For Independent Artists Of The Time,ARTS_CULTURE,3
Rep. Jim Jordan's Judiciary Twitter Account Finds 'Threat' In Pic Of Docs At Trump Home,POLITICS,0
Mikhail Gorbachev's 1998 Pizza Hut Ad Resurfaces After His Death,POLITICS,2
Republicans Ignore Trump's Hoarding Of Classified Documents,POLITICS,0
‘Fox & Friends’ Host Questions Why Trump Kept Classified Documents At Mar-A-Lago,POLITICS,0
3 More R. Kelly Accusers Testify About His Abuse In Chicago Trial,US_NEWS,4
Stocks Dive For Truth Social SPAC Amid Merger Delay,POLITICS,0
6 Signs You’re Grinding Your Teeth At Night (And What To Do About It),HEALTH_WELLNESS,2
'Safety Is Always First': NASA Reschedules Artemis Moon Mission To Saturday,SCIENCE,2
Secret Service Official And Ex-Trump Aide Tony Ornato Retires Amid Jan. 6 Probe,POLITICS,0
'The Vow Part Two' Trailer Dives Deeper Into Downfall Of Twisted NXIVM Cult,ENTERTAINMENT_MEDIA,3
"This Breastfeeding Condition Makes Moms Feel Dread, Disgust And Despair",PARENTING_FAMILY,2
"Yung Gravy Brings Addison Rae’s Mom As His VMAs Date, Calls Her A Certain 4-Letter Word",ENTERTAINMENT_MEDIA,3
House Members Are Using A Controversial Tool To Keep Campaigning. Has It Gone Too Far?,POLITICS,0
Lindsey Graham Warns Of 'Riots In Streets' If Trump Is Charged Over Classified Docs,POLITICS,0
Amber Heard's Sister Reacts To 'Disgusting' Johnny Depp Cameo At VMAs,ENTERTAINMENT_MEDIA,3
Johnny Depp Makes Surprise Appearance As Moon Person At MTV VMAs,ENTERTAINMENT_MEDIA,3
And The Award For Most Enthusiastic VMAs Guest Goes To Taylor Swift,ENTERTAINMENT_MEDIA,3
"Pakistan Flooding Deaths Pass 1,000 In 'Climate Catastrophe'",WORLD_NEWS,4
2022 MTV VMAs Red Carpet: All The Wildest Looks You Need To See,ENTERTAINMENT_MEDIA,3
A Nebraska Man Conducted An Active Shooter Drill. Employees Had No Idea.,US_NEWS,4
Kash Patel Says His Life's In Danger Because He's In FBI Affidavit,POLITICS,4
FBI Probing Russian-Speaking Fake Heiress Who Infiltrated Mar-A-Lago: Report,POLITICS,0
Arcade Fire Singer Win Butler Accused Of Sexual Misconduct By Several People: Report,ENTERTAINMENT_MEDIA,3
Don Jr. Posts 'Dick Pic' Of Dad After Affidavit Release: 'Redact This!',POLITICS,0
Trump Attorneys File Do-Over Motion Regarding Mar-A-Lago Search,POLITICS,0
"6 Missing College Students In Mexico Were Held In Warehouse, Killed By Army",WORLD_NEWS,4
A Fisherman Thought He Caught A Rock. He Snagged A Prehistoric Treasure Instead.,GOOD_WEIRD_NEWS,2
Jared Kushner Blasts 'Nasty Troll' Chrissy Teigen For Attacks On Ivanka,POLITICS,0
'Kimmel' Host Nikki Glaser Absolutely Goes There In Scorching NSFW Monologue,ENTERTAINMENT_MEDIA,3
Mar-A-Lago Search Affidavit: Trump Was Insecurely Storing Most Sensitive Intel At Club,POLITICS,0
"Donald Trump's Truth Social Reportedly Faces Major Money, Trademark Woes",POLITICS,0
FINISH HIM: Fighting Kangaroo Pulls Wild Move Right Out Of A Video Game,GOOD_WEIRD_NEWS,2
"6 Months Into War, Russian Goods Still Flowing To U.S.",WORLD_NEWS,4
Judge Temporarily Blocks North Dakota Trigger Law Banning Abortion,POLITICS,4
REI Workers At Berkeley Store Vote To Unionize In Another Win For Labor,BUSINESS_FINANCE,2
Gov. Brian Kemp Fights Subpoena In Georgia Election Probe,POLITICS,4
Japan’s National Police Chief To Resign Over Shinzo Abe Assassination,WORLD_NEWS,4
"Uvalde Victims' Families, Survivors Plan Multi-Billion Dollar Lawsuit",US_NEWS,4
"Dan Goldman, Narrowly Leading In New York Democratic Primary, Declares Victory",POLITICS,0
Markwayne Mullin Wins Oklahoma Republican Primary To Succeed GOP Sen. Jim Inhofe,POLITICS,0
Charlie Crist Wins Chance To Take On Florida Gov. Ron DeSantis And His $132 Million,POLITICS,0
IRS Launches Safety Review Amid Threats To Workers Linked To Conspiracy Theories,POLITICS,4
Student Loan Borrowers Await Biden Plan On Debt Forgiveness,POLITICS,0
'House Of The Dragon' Is Already Ratings King After Most-Watched HBO Premiere Ever,ENTERTAINMENT_MEDIA,2
Former Louisville Cop Pleads Guilty In Breonna Taylor Case,US_NEWS,4
"Jerry Allison, Buddy Holly's Drummer, Dead At 82",ENTERTAINMENT_MEDIA,3
Andrew Garfield Confirms Method Acting Is Possible Without 'Being An Asshole',ENTERTAINMENT_MEDIA,3
Rusty Bowers Rips 'Fascism' Of GOP And Trump's Strong-Arm Tactics To Trash Vote,POLITICS,0
"After Delay, Biden Readies Student Loan Help, Payment Pause",POLITICS,0
This Is The Bittersweet Part Of Democrats' Sweet Legislative Victory,POLITICS,0
UK Broadcaster To Air Satirical Musical On Prince Andrew,WORLD_NEWS,3
Teachers In Ohio's Largest School District Go On Strike,POLITICS,4
"Ukraine: 9,000 Of Its Troops Killed Since Russia Began War",WORLD_NEWS,4
"Gas Prices Are Falling, But Global Events Could Cause Increase, Energy Secretary Warns",POLITICS,2
Police File Terrorism Charges Against Pakistan's Ex-Premier Imran Khan,WORLD_NEWS,4
Minneapolis Teacher Contract Race Language Ignites Firestorm,EDUCATION,4
Hawaii Seeking End To Conflict Over Astronomy On Sacred Mountain,US_NEWS,2
Metal-Detecting Stranger Retrieves Woman’s Ring Lost In Sea,US_NEWS,2
"Leon Vitali, Stanley Kubrick’s Right-Hand Man, Dies At 74",ENTERTAINMENT_MEDIA,4
‘Dragon Ball Super’ Bests ‘Beast’ At Box Office With $20.1M,ENTERTAINMENT_MEDIA,2
Defense In Parkland School Shooter’s Trial Set To Present Its Case,US_NEWS,4
"Judge Won't Block Georgia Ban On Bringing Food, Water To Voters In Line",POLITICS,4
"Trans Woman Can't Be Considered Parent Of Her Own Child, Rules Tokyo Court",WORLD_NEWS,4
"Dorli Rainey, Symbol Of Occupy Movement, Dies At 95",US_NEWS,4
Mike Pence Says He Did Not Take Classified Documents When He Left Office,POLITICS,0
Wendy's Pulls Lettuce From Sandwiches After Dozens Fall Sick From E. Coli,US_NEWS,2
Shocking Drone Video Shows Alligator Attacking Florida Man,US_NEWS,4
How To Tell If Your Chest Pain Is A Heart Problem,HEALTH_WELLNESS,2
Mitch McConnell Gives Downbeat Forecast On GOP Winning Senate,POLITICS,0
Vanessa Bryant Says Kobe Bryant Crash Photos Turned Grief To Horror,SPORTS,3
Rapper Young Thug Again Denied Bond In Racketeering And Gang Case,ENTERTAINMENT_MEDIA,4
Media To Ask Judge To Release Trump Search Warrant Affidavit,POLITICS,4
State Dept. 'Studying' 34-Year Sentence Of Saudi Woman Over Twitter Use,WORLD_NEWS,4
"LGBTQ Pride Events Will Have Priority Access To Monkeypox Vaccines, Health Officials Say",US_NEWS,1
"Trump Org. CFO To Plead Guilty, Testify Against Company",CRIME,0
Deshaun Watson Settles With NFL For 11-Game Suspension,SPORTS,3
'Mike' And The Flawed Allure Of Authorized Biopics,ARTS_CULTURE,3
Talks On Possible Watson Settlement Progress,SPORTS,4
CDC Director To Overhaul Agency With COVID Shortcomings In Mind,POLITICS,1
"General Motors Recalls Over 484,000 Vehicles Over 'Improperly'-Formed Seat Belts",US_NEWS,4
Planned Parenthood To Spend Record $50 Million For Midterms,POLITICS,2
"Former California Congressman Charged After 'Multiple Fraud Schemes,' Feds Say",US_NEWS,0
Syria Denies It Is Holding American Journalist Austin Tice,WORLD_NEWS,4
NBA Won't Host Election Day Games In Effort To Increase Voter Turnout,POLITICS,4
Dog Catches Monkeypox In France In First Suspected Human-To-Pet Transmission,US_NEWS,1
The Denver Broncos’ Historic Purchase Could Increase Number Of Minority-Owned NFL Teams,SPORTS,3
New Law Makes Period Products Free For All In Scotland,WORLD_NEWS,2
Tiger To Meet With Top Players Against LIV Golf,SPORTS,3
Afghanistan Marks One-Year Anniversary Since Taliban Takeover,WORLD_NEWS,4
"Lindsey Graham Must Testify In Georgia Election Probe, Judge Says",POLITICS,0
'Another World' Soap Star Robyn Griggs Dies At 49,ENTERTAINMENT_MEDIA,3
3 Injured In Shooting At Six Flags Great America Park Near Chicago,US_NEWS,4
Iran Denies Involvement But Justifies Salman Rushdie Attack,WORLD_NEWS,4
Lawyers Appeal Brittney Griner's Russian Prison Sentence,WORLD_NEWS,4
Jury Selection In R. Kelly Federal Trial To Begin In Chicago,US_NEWS,4
Palestinian Gunman Wounds 8 In Late-Night Jerusalem Shooting,WORLD_NEWS,4
‘Bullet Train’ Repeats No. 1; ‘Top Gun’ Flies Back Up Ranks,ENTERTAINMENT_MEDIA,2
Officials: Fire At Coptic Church In Cairo Kills 41,WORLD_NEWS,4
Don't Look Up! A Possible Meteor Causes Loud 'Boom' Sound In Utah,US_NEWS,4
"Salman Rushdie 'On The Road To Recovery,' Agent Says",WORLD_NEWS,4
"'Catastrophic Failure' At Research Center Kills About 21,000 Fish",ENVIRONMENT,4
Parents Arrested After Attempting To Grab Their Children During School Lockdown,US_NEWS,4
Sinema Took Wall Street Money While Killing Tax On Investors,POLITICS,0
Video Shows NFL Player Hopping Into Stands To Stop Fighting Fans,SPORTS,3
Suspect In Rushdie Stabbing Pleads Not Guilty As Author Remains Hospitalized,US_NEWS,4
'Shocking' Fish Die-Off Sends Poland Scrambling To Determine Source,ENVIRONMENT,4
Cleveland Browns QB Deshaun Watson Apologizes ‘To All The Women I Have Impacted’,SPORTS,3
"Over $2 Billion Announced For Roads, Bridges, Bike Lanes Across U.S.",POLITICS,2
"Polio Detected In NYC's Sewage, Suggesting Virus Circulating",US_NEWS,1
Democrats’ Inflation Reduction Act Expected To Do Little To Reduce Inflation,POLITICS,0
"CDC Drops Some Quarantine, Screening Recommendations For COVID-19",US_NEWS,1
Feathers Fly As Wild Turkey Dodges Cops In Slapstick Apartment Chase,GOOD_WEIRD_NEWS,4
Steve Martin Says ‘Only Murders In The Building’ Could Be His Final Role,ENTERTAINMENT_MEDIA,3
Officials: NH Missing Girl Case Shifts To Homicide Probe,CRIME,4
U.S. Unemployment Claims Rise To Highest Level Since November,US_NEWS,2
Gas Prices Dip Just Below $4 For The First Time In 5 Months,US_NEWS,2
"As Joe Biden Wins Mount, 2024 Doubts Ease For Top House Dems",POLITICS,0
FX's 'Justified' Set Faces Violent Interruption For Second Time In 3 Weeks,ENTERTAINMENT_MEDIA,4
Ex-Twitter Staffer Convicted For Sharing Private Information On Dissidents With Saudis,US_NEWS,4
Stranded Whale Euthanized After Removal From French River,WORLD_NEWS,2
Sesame Place To Train Workers On Diversity After Lawsuit,US_NEWS,2
Kobe Bryant Crash Photos Lawsuit To Be Heard By LA Jury,US_NEWS,3
Why The Justice Department Can’t Say More About The Mar-A-Lago Raid,POLITICS,0
Lawyer: Rudy Giuliani Won’t Testify Tuesday In Georgia Election Probe,POLITICS,0
Idris Elba Reveals How He 'Hustled' His Way Onto Jay-Z's 'American Gangster' Album,ENTERTAINMENT_MEDIA,3
Judge: 3 Players Who Joined Saudi-Backed Golf Tour Can't Compete In PGA Postseason,SPORTS,4
Broncos Make History After Being Sold For Record $4.65 Billion,SPORTS,2
3 Dead In Shooting At Florida Narcotics Anonymous Meeting,US_NEWS,4
Trump Said Wounded Veterans In Military Parades Didn’t 'Look Good' For Him: Book,POLITICS,0
Lindsey Graham Scolded For Senate Outburst At Maggie Hassan,POLITICS,0
Albuquerque Police Share Photo Of Car Eyed In Slayings Of Muslim Men,CRIME,4
"‘Come On, Bernie!’ Why Democrats Left Child Tax Credit Out Of The Inflation Reduction Act",POLITICS,0
"How To Hide Even The Worst Tan Lines, According To Makeup Pros",STYLE_BEAUTY_HOME,2
"57 Votes in the Senate: Enough For Private Equity, Not Enough For Diabetics",POLITICS,0
Brad Pitt’s ‘Bullet Train’ Pulls Into Station With $30.1M,ENTERTAINMENT_MEDIA,2
'The Flash' Movie Still Set For Release Despite Ezra Miller's Controversies,ENTERTAINMENT_MEDIA,3
Biden Expresses Solidarity With Muslim Community After Albuquerque Killings,POLITICS,4
L.A. Man Among 3 Killed In Lightning Strike Near White House,US_NEWS,4
"Over 120 Injured, Several Missing In Massive Cuban Oil Facility Fire",WORLD_NEWS,4
Eastern Kentucky Braces For More Storms While Recovering From Extreme Flooding,US_NEWS,4
Woody Harrelson Reacts To Viral Photo Of Doppelgänger Baby With Sweet Poem,ENTERTAINMENT_MEDIA,3
Albuquerque Police Tell Muslim Community To Be 'Vigilant' Amid Series Of Murders,CRIME,4
Canadian Man Uses Giant Billboard To Get Rid Of Leftover Dairy Product In Fridge,GOOD_WEIRD_NEWS,2
New York Couple Turns In 5-Foot Gator 'Zachary' They'd Been Keeping In Home,ENVIRONMENT,4
This Is The Most Underappreciated Part Of The Democratic Prescription Drug Bill,POLITICS,1
GOP Senators Refuse To Rule Out Supporting Donald Trump Again — Even If He's Indicted,POLITICS,0
CPAC Has A Special Exhibit: A Sobbing Jan. 6 Rioter In Jail,POLITICS,4
"5 Dead, 8 Injured In Fiery Los Angeles Crash After Speeding Car Runs Red Light",US_NEWS,4
Trevor Noah Busts Putin For 'Another S**tty Thing' He's Doing To Screw With U.S.,ENTERTAINMENT_MEDIA,0
French Scientist Trolls Twitter By Claiming Chorizo Slice Is Actually A Distant Star,GOOD_WEIRD_NEWS,3
Fertility Treatment Puts Many Families In Debt. Here's How To Manage It.,HEALTH_WELLNESS,2
FBI Arrests 4 Louisville Cops In Breonna Taylor Shooting Investigation,US_NEWS,4
'Cafeteria Workers Do A Lot More Than People Realize',FOOD_DRINK,2
What’s Going On With HBO Max? Here’s What We Know So Far.,ARTS_CULTURE,2
John Legend Says Kanye's Support Of Trump Ruined Their Friendship,ENTERTAINMENT_MEDIA,3
Demi Lovato Appears To Call Out Ex Wilmer Valderrama Over Age Gap In New Song,ENTERTAINMENT_MEDIA,3
Giant Sinkhole Swallows Chilean Land Owned By Canadian Mining Company,WORLD_NEWS,4
Selena Gomez Developing Reboot Of '80s Classic 'Working Girl',ENTERTAINMENT_MEDIA,3
Volcano Near Iceland’s Main Airport Erupts Again,WORLD_NEWS,2
Paul Pelosi Pleads Not Guilty To DUI Charges,POLITICS,0
Brad Pitt Defends Ana De Armas After Marilyn Monroe Accent Backlash,ENTERTAINMENT_MEDIA,3
Hilary Duff's Husband Calls Out Candace Cameron Bure For Ignorant TikTok,ENTERTAINMENT_MEDIA,3
Sandy Hook Parent Testifies: Alex Jones’ Apologies ‘Are Worthless’,US_NEWS,0
Bandit The 'Guard Cat' Hailed As Hero After Thwarting Would-Be Robbery,GOOD_WEIRD_NEWS,4
"Senate Republicans Fold, Help Pass Veterans Health Bill After Blocking It",POLITICS,0
University of West Georgia Professor Charged With Murder Of Incoming Freshman,CRIME,4
"I Cooked For The World's 1%, But I Traded It To Make School Lunches",FOOD_DRINK,2
Arizona's Rusty Bowers Comes Out Against A 2024 Trump Bid,POLITICS,0
"Yolanda Hadid Returns To Social Media After 9-Month Break For Depression, Lyme Relapse",ENTERTAINMENT_MEDIA,3
Challenger Suraj Patel’s Poll Shows Tightening Race In Key New York Primary,POLITICS,0
"Chris Rock Has No Real Interest In Talking With Will Smith, Sources Say",ENTERTAINMENT_MEDIA,3
4 'Micro-Transitions' In Your Day That May Be Causing You Anxiety,HEALTH_WELLNESS,2
Death Toll In Kentucky Hits 28 As Infrastructure Damage Hampers Flood Recovery,US_NEWS,4
Vulnerable House Dems See Abortion As Winning Campaign Theme,POLITICS,0
Report: Prince Charles' Charity Got Donation From Bin Ladens,WORLD_NEWS,4
‘DC League Of Super-Pets’ Takes No. 1 With $23 Million,ENTERTAINMENT_MEDIA,2
New York City Declares Monkeypox A Public Health Emergency,US_NEWS,1
Chinese Rocket Debris Makes Out-Of-Control Fall Back To Earth,SCIENCE,4
Man Arrested For Alleged Bomb Threat Against Arizona Election Official After Jan. 6,US_NEWS,4
Rain Cascades From Vegas Casino Ceilings As Thunderstorms Flood Desert,ENVIRONMENT,4
Photos Reveal Ivana Trump's Final Resting Place At Bedminster Golf Course,US_NEWS,3
Ex-DHS Aide Suggests She 'Went Very Public' Because She Didn't Trust Inspector General,POLITICS,0
DHS Watchdog Fails To Notify Congress Over Missing Jan. 6 Texts Of 2 Trump Officials,POLITICS,0
'Covington Kid' Nicholas Sandmann Loses Defamation Suits Against Major Media Outlets,US_NEWS,4
Alabama Official Told Reporter Her Skirt Was Too Short To Witness An Execution,POLITICS,4
Kenan Thompson: Ending 'SNL' After 50th Season 'Might Not Be A Bad Idea',ENTERTAINMENT_MEDIA,3
Principal Of Texas School Where Shooting Happened Reinstated,US_NEWS,4
Infowars Sidekick Owen Shroyer Testifies In Alex Jones' Sandy Hook Defamation Trial,US_NEWS,0
